City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,Mariahu,IN,55.36,clear sky,25.6167,82.6167,THAKUR GATE
17,Havelock,US,65.01,moderate rain,34.8791,-76.9013,Sherwood Motel
22,Port Alfred,ZA,69.4,light rain,-33.5906,26.891,The Halyards Hotel
24,Lompoc,US,56.37,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
33,Boende,CD,69.6,overcast clouds,-0.2167,20.8667,
35,Lebu,CL,56.95,broken clouds,-37.6167,-73.65,Hostal Las Lilas
42,Gasa,PS,51.91,overcast clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
53,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hostel Del Puerto
55,Ancud,CL,53.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
57,Faya,SA,51.91,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
66,Port Elizabeth,ZA,67.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
68,Cavalcante,BR,69.33,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
69,East London,ZA,65.34,broken clouds,-33.0153,27.9116,Tu Casa
75,Airai,TL,68.45,overcast clouds,-8.9266,125.4092,
76,Tezu,IN,59.59,overcast clouds,27.9167,96.1667,Circuit House
78,Cape Town,ZA,65.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
83,Surt,LY,54.01,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
85,Praia Da Vitoria,PT,57.76,broken clouds,38.7333,-27.0667,Hotel Branco I
87,Simao,CN,68.43,clear sky,22.7886,100.9748,Changyu Hotel
91,San Quintin,MX,55.74,few clouds,30.4833,-115.95,Don Eddie's Landing
92,Rio Gallegos,AR,50.05,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
94,Victoria,HK,66.18,broken clouds,22.2855,114.1577,Mini Hotel Central
98,Dakar,SN,68.88,clear sky,14.6937,-17.4441,Redface Studios Meublés
104,Necochea,AR,64.04,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
107,Gunjur,GM,64.47,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
108,Ponta Do Sol,PT,63.01,broken clouds,32.6667,-17.1,Hotel do Campo
121,Bredasdorp,ZA,67.32,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
128,Castro,BR,64.24,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
129,Mar Del Plata,AR,67.08,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
132,Rabo De Peixe,PT,56.71,few clouds,37.8,-25.5833,Quinta das Giestas
141,Coihaique,CL,54.21,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
142,Chuy,UY,68.04,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
150,Ribeira Grande,PT,58.86,few clouds,38.5167,-28.7,Quinta da Meia Eira
157,Bangui,CF,64.58,overcast clouds,4.3612,18.555,SAM HOTEL
160,Artesia,US,64.38,clear sky,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
163,Beirut,LB,50.74,drizzle,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
166,Plettenberg Bay,ZA,63.77,clear sky,-34.0527,23.3716,Thanda Vista B&B
169,Marsa Matruh,EG,53.8,scattered clouds,31.3525,27.2453,Beau Site
170,Half Moon Bay,US,56.32,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
171,Saint Andrews,US,56.7,few clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
177,Cabo San Lucas,MX,63.95,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
179,Lumeje,AO,63.21,overcast clouds,-11.55,20.7833,
187,Samfya,ZM,63.14,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
189,Menongue,AO,61.47,moderate rain,-14.6585,17.691,Ritz Lauca
193,Abha,SA,51.62,clear sky,18.2164,42.5053,Abha Hotel
198,High Rock,BS,68.02,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
200,Hermanus,ZA,64.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
201,Copiapo,CL,67.01,clear sky,-27.3667,-70.3333,San Francisco de La Selva
204,Mount Pleasant,US,61.09,moderate rain,32.7941,-79.8626,Best Western Patriots Point
213,Salina Cruz,MX,67.19,clear sky,16.1667,-95.2,Amerik HOTEL
218,Vila Franca Do Campo,PT,57.61,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
226,Dutse,NG,55.18,clear sky,11.7594,9.3392,Central Mosque Galamawa
228,Constitucion,CL,57.74,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
229,Nouadhibou,MR,64.38,few clouds,20.931,-17.0347,El Medina
