City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Geraldton,AU,-28.7667,114.6,111.61,7,0,10.36,clear sky
1,Nara,JP,34.6851,135.8049,42.12,62,88,15.84,overcast clouds
2,Kanniyakumari,IN,8.0833,77.5667,81.63,71,45,6.6,scattered clouds
3,Mariahu,IN,25.6167,82.6167,55.36,55,0,6.96,clear sky
4,La Ronge,CA,55.1001,-105.2842,-7.35,77,100,6.91,overcast clouds
5,Awbari,LY,26.5921,12.7805,45.82,42,0,5.68,clear sky
6,Rikitea,PF,-23.1203,-134.9692,78.98,69,5,7.52,clear sky
7,Provo,US,40.2338,-111.6585,29.75,67,0,5.75,clear sky
8,Bodaybo,RU,57.8506,114.1933,11.39,86,100,3.13,overcast clouds
9,Kinsale,IE,51.7075,-8.5306,40.23,93,20,9.22,few clouds
10,Bubaque,GW,11.2833,-15.8333,77.54,64,0,9.4,clear sky
11,Puerto Ayora,EC,-0.7393,-90.3518,74.55,93,46,3.0,scattered clouds
12,Chernyy Yar,RU,48.0624,46.1091,28.85,87,100,11.81,overcast clouds
13,Saint-Philippe,RE,-21.3585,55.7679,83.79,89,100,24.61,moderate rain
14,Suda,RU,59.1525,37.5582,6.91,100,100,4.09,overcast clouds
15,Jamestown,US,42.097,-79.2353,18.72,86,100,5.75,mist
16,Alice Springs,AU,-23.7,133.8833,80.15,26,0,10.36,clear sky
17,Havelock,US,34.8791,-76.9013,65.01,94,100,5.99,moderate rain
18,Shestakovo,RU,56.4915,103.96,18.46,92,100,8.01,light snow
19,Port Blair,IN,11.6667,92.75,86.04,70,40,11.5,scattered clouds
20,Pitogo,PH,13.7847,122.0881,81.86,66,86,15.43,overcast clouds
21,Celina,US,40.5489,-84.5702,16.0,91,84,4.59,broken clouds
22,Port Alfred,ZA,-33.5906,26.891,69.4,84,96,11.9,light rain
23,Miles City,US,46.4083,-105.8406,43.52,55,0,5.75,clear sky
24,Lompoc,US,34.6391,-120.4579,56.37,76,0,4.61,clear sky
25,Saravena,CO,6.9538,-71.8752,70.81,95,81,3.13,broken clouds
26,Kushmurun,KZ,52.4503,64.6311,19.36,74,100,10.07,overcast clouds
27,Kununurra,AU,-15.7667,128.7333,82.38,83,95,8.05,overcast clouds
28,Deputatskiy,RU,69.3,139.9,-27.27,98,71,2.95,broken clouds
29,New Norfolk,AU,-42.7826,147.0587,72.66,40,85,1.99,overcast clouds
30,Cockburn Town,TC,21.4612,-71.1419,75.83,74,0,17.2,clear sky
31,Trinidad,BO,-14.8333,-64.9,73.83,94,92,5.03,overcast clouds
32,Quatre Cocos,MU,-20.2078,57.7625,80.71,85,99,19.48,light rain
33,Boende,CD,-0.2167,20.8667,69.6,81,100,1.7,overcast clouds
34,Souillac,MU,-20.5167,57.5167,80.98,83,75,19.57,light rain
