City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,Mariahu,IN,55.36,clear sky,25.6167,82.6167,THAKUR GATE
5,Awbari,LY,45.82,clear sky,26.5921,12.7805,فندق أوباري
24,Lompoc,US,56.37,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
35,Lebu,CL,56.95,broken clouds,-37.6167,-73.65,Hostal Las Lilas
42,Gasa,PS,51.91,overcast clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
50,Pafos,CY,49.91,clear sky,34.7667,32.4167,Elysium Hotel
51,Punta Arenas,CL,46.51,clear sky,-53.15,-70.9167,Hotel Hain
53,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hostel Del Puerto
55,Ancud,CL,53.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
57,Faya,SA,51.91,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
74,Port Hardy,CA,45.75,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
76,Tezu,IN,59.59,overcast clouds,27.9167,96.1667,Circuit House
83,Surt,LY,54.01,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
84,Akhmim,EG,48.4,clear sky,26.5622,31.745,برج الماسة السكني
85,Praia Da Vitoria,PT,57.76,broken clouds,38.7333,-27.0667,Hotel Branco I
91,San Quintin,MX,55.74,few clouds,30.4833,-115.95,Don Eddie's Landing
92,Rio Gallegos,AR,50.05,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
93,Patti,IN,46.47,clear sky,31.2808,74.8572,harike air travel
99,Sabha,LY,46.89,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
104,Necochea,AR,64.04,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
107,Gunjur,GM,64.47,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
108,Ponta Do Sol,PT,63.01,broken clouds,32.6667,-17.1,Hotel do Campo
111,Jalu,LY,48.11,clear sky,29.0331,21.5482,صاحبة الفخامة
128,Castro,BR,64.24,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
132,Rabo De Peixe,PT,56.71,few clouds,37.8,-25.5833,Quinta das Giestas
135,Awjilah,LY,48.27,clear sky,29.1081,21.2869,
141,Coihaique,CL,54.21,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
149,Mingaora,PK,49.17,clear sky,34.7758,72.3625,Burj Al Swat
150,Ribeira Grande,PT,58.86,few clouds,38.5167,-28.7,Quinta da Meia Eira
153,Udala,ES,46.8,overcast clouds,43.0778,-2.5125,Hotel Arrasate
157,Bangui,CF,64.58,overcast clouds,4.3612,18.555,SAM HOTEL
160,Artesia,US,64.38,clear sky,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
163,Beirut,LB,50.74,drizzle,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
166,Plettenberg Bay,ZA,63.77,clear sky,-34.0527,23.3716,Thanda Vista B&B
169,Marsa Matruh,EG,53.8,scattered clouds,31.3525,27.2453,Beau Site
170,Half Moon Bay,US,56.32,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
171,Saint Andrews,US,56.7,few clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
177,Cabo San Lucas,MX,63.95,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
179,Lumeje,AO,63.21,overcast clouds,-11.55,20.7833,
184,Wenatchee,US,47.23,clear sky,47.4235,-120.3103,SpringHill Suites by Marriott Wenatchee
187,Samfya,ZM,63.14,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
189,Menongue,AO,61.47,moderate rain,-14.6585,17.691,Ritz Lauca
193,Abha,SA,51.62,clear sky,18.2164,42.5053,Abha Hotel
200,Hermanus,ZA,64.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
204,Mount Pleasant,US,61.09,moderate rain,32.7941,-79.8626,Best Western Patriots Point
214,Fortuna,US,45.52,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
218,Vila Franca Do Campo,PT,57.61,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
224,Oloron-Sainte-Marie,FR,46.33,overcast clouds,43.1944,-0.6107,Hotel De La Paix
226,Dutse,NG,55.18,clear sky,11.7594,9.3392,Central Mosque Galamawa
228,Constitucion,CL,57.74,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
229,Nouadhibou,MR,64.38,few clouds,20.931,-17.0347,El Medina
232,Gat,IL,51.4,overcast clouds,31.61,34.7642,OlusHome
233,Qarqin,AF,56.86,clear sky,37.4185,66.0436,
244,Kitamoto,JP,49.01,broken clouds,36.036,139.541,Hotel Palier
248,Ghosi,IN,61.68,clear sky,26.1083,83.5436,Bhudisagar
252,Port Alberni,CA,46.17,overcast clouds,49.2413,-124.8028,Somass Motel & RV
256,Nuevo Progreso,MX,49.59,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
257,Guerrero Negro,MX,59.18,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
258,Comodoro Rivadavia,AR,48.06,clear sky,-45.8667,-67.5,Austral Hotel
276,Tura,IN,57.34,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
280,Bahir Dar,ET,63.91,few clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
281,Arlit,NE,53.26,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
294,Kushima,JP,48.24,broken clouds,31.4583,131.2333,Hanaoka
296,Larnaca,CY,52.21,scattered clouds,34.9167,33.6292,Flamingo Beach Hotel
297,Tigzirt,DZ,55.78,broken clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
298,Ukiah,US,51.39,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
307,Etchojoa,MX,60.28,clear sky,26.9167,-109.6333,Cuadra RT
316,Adrar,MR,60.76,clear sky,20.5022,-10.0711,
320,Lagoa,PT,57.56,broken clouds,39.05,-27.9833,Casa Das Faias
323,Tukrah,LY,50.95,clear sky,32.5341,20.5791,Lagrota restaurant
332,Bardiyah,LY,49.19,clear sky,31.7561,25.0865,بورتو بردية
335,La Palma,US,64.42,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
336,Zambezi,ZM,62.64,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
350,Trelew,AR,56.48,scattered clouds,-43.249,-65.3051,Hotel Touring Club
358,Muros,ES,51.24,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
377,Rangapara,IN,61.05,overcast clouds,26.8167,92.65,Bidhan
388,Taoudenni,ML,61.74,broken clouds,22.6783,-3.9836,
393,Guerrero,MX,63.16,scattered clouds,17.6667,-100.0,Villaxochilt
399,Pacific Grove,US,54.57,clear sky,36.6177,-121.9166,Lovers Point Inn
402,Hirara,JP,64.26,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
409,Ponta Delgada,PT,57.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
412,San Jeronimo,PE,49.96,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
416,Gazanjyk,TM,50.38,few clouds,39.2446,55.5154,Railway motel
420,Coos Bay,US,48.99,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
429,Banka,IN,63.23,broken clouds,24.8833,86.9167,Hotel Krrish Inn
436,Graaff-Reinet,ZA,57.92,scattered clouds,-32.2522,24.5308,Rietjiesbos Self Catering
439,Jieshi,CN,58.95,broken clouds,22.8134,115.8257,Yuehai Hotel
448,Cortes,ES,49.6,overcast clouds,41.9395,-1.4396,Rincon de bu
449,Rawalpindi,PK,53.26,clear sky,33.6007,73.0679,Hotel Akbar International
451,Chakia,IN,61.57,broken clouds,26.4167,85.05,Adarsh home 🏠
452,Henderson,US,50.14,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
457,Marsaxlokk,MT,57.07,clear sky,35.8419,14.5431,Water's Edge
458,Tessaoua,NE,54.73,clear sky,13.7574,7.9874,Benin Dan Kaabou Heberge
460,Umm Kaddadah,SD,54.82,clear sky,13.6017,26.6876,
462,Caluquembe,AO,59.74,overcast clouds,-13.7833,14.6833,Hotel Kalukembe
463,Bilma,NE,53.04,clear sky,18.6853,12.9164,Expeditions Ténére voyages
464,Laguna,US,54.34,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
476,San Carlos De Bariloche,AR,55.56,broken clouds,-41.1456,-71.3082,Hotel Patagonia
479,Kruisfontein,ZA,64.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
480,Mill Valley,US,56.19,scattered clouds,37.906,-122.545,Best Western Corte Madera Inn
489,Truro,GB,47.48,broken clouds,50.2653,-5.0544,Mannings Hotel
501,Nador,MA,61.05,clear sky,35.174,-2.9287,Hôtel La Giralda
507,Mao,ES,46.96,clear sky,39.8885,4.2658,ARTIEM Capri
511,Kijabe,KE,61.41,overcast clouds,-0.933,36.5758,Moffat Guesthouse
515,Puqi,CN,51.08,clear sky,29.7167,113.8833,Ramada Plaza Chibi
525,Masvingo,ZW,64.22,light rain,-20.0637,30.8277,River Side Lodge
527,Graneros,CL,62.96,clear sky,-34.0667,-70.7333,Campo Escuela Callejones Park
529,Nkongsamba,CM,63.81,clear sky,4.9547,9.9404,Hotel Yodi Chute D' Ekom Nkan
534,Maradi,NE,55.36,clear sky,13.5,7.1017,NRC office
541,Bowmore,US,60.64,clear sky,34.9421,-79.3031,
545,Dinghai,CN,47.32,overcast clouds,26.2847,119.7936,
549,Ridgecrest,US,45.16,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
560,Tafalla,ES,45.48,overcast clouds,42.5269,-1.6745,Hostal Arotza
565,Evans,US,48.76,broken clouds,33.5337,-82.1307,Evans hide out
577,Massakory,TD,60.42,clear sky,12.996,15.7293,
581,Pacifica,US,56.14,scattered clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
584,Licheng,CN,51.73,overcast clouds,23.2955,113.8284,Xincheng Tourism Industry
585,Suluq,LY,49.53,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
586,Saldanha,ZA,57.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
593,Gushikawa,JP,62.6,broken clouds,26.3544,127.8686,Kirari Guest House
595,Old Shinyanga,TZ,63.41,overcast clouds,-3.55,33.4,
598,Cameron Park,US,51.73,scattered clouds,38.6688,-120.9872,Quality Inn & Suites Cameron Park Shingle Springs
601,A Coruna,ES,50.58,overcast clouds,43.3713,-8.396,Hotel Zenit Coruña
603,Jibuti,DJ,60.22,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
604,Teguise,ES,61.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
605,Benghazi,LY,55.71,clear sky,32.1167,20.0667,Tibesti Hotel
606,Puerto Penasco,MX,54.91,scattered clouds,31.3167,-113.5333,Playa Bonita Resort
609,Berberati,CF,63.32,overcast clouds,4.2612,15.7922,MAIRIE DE BERBERATI
611,Hope Mills,US,64.49,clear sky,34.9704,-78.9453,"Holiday Inn Express & Suites Hope Mills-Fayetteville Arpt, an IHG Hotel"
612,Araria,IN,56.7,overcast clouds,26.15,87.5167,Ravin Hotel
617,Nishihara,JP,62.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
626,Astoria,US,45.86,overcast clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
630,Goundam,ML,59.88,clear sky,16.4145,-3.6708,
641,Enshi,CN,49.59,overcast clouds,30.3,109.4833,Moevenpick Enshi
647,Dori,BF,60.57,clear sky,14.0354,-0.0345,Hôtel Liptako
656,Umm Lajj,SA,61.23,scattered clouds,25.0213,37.2685,Moon light Furnished Units
657,Aswan,EG,51.1,clear sky,24.0934,32.907,Nuba Nile
668,Portland,US,49.6,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
669,Rawson,AR,57.54,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
670,San Rafael,AR,63.3,broken clouds,-34.6177,-68.3301,Hotel San Rafael
673,Torrevieja,ES,57.52,overcast clouds,37.9787,-0.6822,Hotel Fontana Plaza
682,Bereda,ES,46.42,broken clouds,43.2686,-7.5406,Pazo de Verdes
